var_name,var_label
AHAID,AHAID
MCRNUM,MCRNUM
mname,Mname
MLOCCITY,MLOCCITY
MLOCSTCD,MLOCSTCD
MLOCZIP,MLOCZIP
LAT,LAT
LONG,LONG
I,MCRNUM
CBSATYPE,CBSATYPE
CBSACODE,CBSACODE
MCNTYCD,MCNTYCD
FCOUNTY,FCOUNTY
MSICHOS,MSICHOS
MSICSYS,MSICSYS
MSICVEN,MSICVEN
ONCOLHOS,ONCOLHOS
ONCOLSYS,ONCOLSYS
ONCOLVEN,ONCOLVEN
PALHOS,PALHOS
PALSYS,PALSYS
PALVEN,PALVEN
IPALHOS,IPALHOS
IPALSYS,IPALSYS
IPALVEN,IPALVEN
ROBOHOS,ROBOHOS
ROBOSYS,ROBOSYS
ROBOVEN,ROBOVEN
LIVRHOS,LIVRHOS
LIVRSYS,LIVRSYS
LIVRVEN,LIVRVEN
TRAUMHOS,TRAUMHOS
TRAUMSYS,TRAUMSYS
TRAUMVEN,TRAUMVEN
TRAUML90,TRAUML90
EMDEPHOS,EMDEPHOS
AK,EMDEPHOS
EMDEPVEN,EMDEPVEN
CTSCNHOS,CTSCNHOS
CTSCNSYS,CTSCNSYS
CTSCNVEN,CTSCNVEN
ENDORHOS,ENDORHOS
ENDORSYS,ENDORSYS
ENDORVEN,ENDORVEN
IGRTHOS,IGRTHOS
PTONHOS,PTONHOS
BEAMHOS,BEAMHOS
SRADHOS,SRADHOS
BLDOHOS,BLDOHOS
MAPP1,MAPP1
MAPP8,MAPP8
MAPP5,MAPP5
MAPP2,MAPP2
MAPP18,MAPP18
MAPP19,MAPP19
MAPP20,MAPP20
MEDADHOS,MEDADHOS
MEDADSYS,MEDADSYS
MEDADVEN,MEDADVEN
HLINHOS,HLINHOS
HLINSYS,HLINSYS
HLINVEN,HLINVEN
MSICBD,MSICBD
LBEDSA,LBEDSA
BSC,BSC
SUROPIP,SUROPIP
OPRA,OPRA
FTMDTF,FTMDTF
FTRES,FTRES
FTTRAN84,FTTRAN84
FTRNTF,FTRNTF
PTMDTF,PTMDTF
PTRES,PTRES
PTTRAN84,PTTRAN84
PTRNTF,PTRNTF
FTED,FTED
FTER,FTER
FTET,FTET
FTEN,FTEN
VMD,VMD
VRES,VRES
VTTRN,VTTRN
VRN,VRN
mcr_num,No Label
prvdrnum,No Label
FIPS,State/ County Codes
rpl_theme4_2020,No Label
rpl_theme3_2020,No Label
rpl_theme2_2020,No Label
rpl_theme1_2020,No Label
rpl_themes_2020,No Label
STATE,State Abbreviation
ST_ABBR,No Label
COUNTY,County Name
FIPSCOUNTY,FIPS County Code
CBSA,CBSA (blanks are rural)
CBSANAME,CBSA Name (blanks are rural)
SSASTATE,SSA State
FIPSSTATE,FIPS State
RPL_THEMES_2016,No Label
rpl_theme1_2016,No Label
rpl_theme2_2016,No Label
rpl_theme3_2016,No Label
rpl_theme4_2016,No Label
rpl_theme1_2018,No Label
rpl_theme2_2018,No Label
rpl_theme3_2018,No Label
rpl_theme4_2018,No Label
ST,No Label
RPL_THEMES_2018,No Label
SSAD,SSA County Code
SSAD1,No Label
INDEX_ORG_NPI_NUM,No Label
ORG_VOL,No Label
no_year,No Label
hosp_vol,No Label
DESY_SORT_KEY,LDS Beneficiary ID
CharAIDS,No Label
CharCHF,No Label
CharCPD,No Label
CharDementia,No Label
CharDM,No Label
CharMalig,No Label
CharMildLD,No Label
CharSevLD,No Label
