term,estimate,std.error,statistic,p.value,conf.low,conf.high,Model,Outcome,OR,conf.low_OR,conf.high_OR
uhi_quartileQ2,0.002585920218633575,0.01392952843293106,0.18564305540452844,0.8527246870807003,-0.02471545383153795,0.0298872942688051,Unadjusted,outcome_readmit,1.0025892665941871,0.9755874722143344,1.0303384023662752
uhi_quartileQ3,9.081363858687297e-5,0.014770358663806703,0.006148370574737821,0.9950943409520054,-0.02885855738121341,0.029040184658387157,Unadjusted,outcome_readmit,1.0000908177622703,0.9715538738728154,1.029465962381967
uhi_quartileQ4 (High),-0.020305974903748858,0.01721484073389676,-1.1795621706662391,0.23817439610947136,-0.05404644274177957,0.013434492934281853,Unadjusted,outcome_readmit,0.9798988029907706,0.9473881061788781,1.0135251412175186
uhi_quartileQ2,0.009010481622684863,0.011924298554722594,0.7556403910330037,0.44986483213585204,-0.014360714085474433,0.032381677330844155,Clinical Adj.,outcome_readmit,1.009051198212368,0.9857419091341507,1.0329116690474907
uhi_quartileQ3,0.001445777874140096,0.012598886778057762,0.11475441438667934,0.9086397823224288,-0.023247586456150993,0.026139142204431184,Clinical Adj.,outcome_readmit,1.0014468235148315,0.9770205567683511,1.0264837657512358
uhi_quartileQ4 (High),-0.019049854474013563,0.01513612049738236,-1.2585691609225786,0.20818599184874728,-0.04871610551454147,0.010616396566514343,Clinical Adj.,outcome_readmit,0.9811304472811134,0.952451487045048,1.0106729504602148
uhi_quartileQ2,0.011396694464431366,0.011967125518181108,0.9523334945486188,0.34092787610551745,-0.01205844054967383,0.03485182947853656,Fully Adj.,outcome_readmit,1.0114618842005805,0.9880139710951604,1.0354662718550294
uhi_quartileQ3,0.0031899694025788183,0.012488561838229073,0.2554312853553655,0.7983900097799392,-0.02128716201905149,0.027667100824209128,Fully Adj.,outcome_readmit,1.0031950627694284,0.9789378104448254,1.0280533893237334
uhi_quartileQ4 (High),-0.018068672853990365,0.014945312964694752,-1.2089859139566976,0.22666825706621954,-0.047360948002471606,0.011223602294490879,Fully Adj.,outcome_readmit,0.9820935868729941,0.9537430837934544,1.0112868232195118
uhi_quartileQ2,0.08333918901469506,0.019737982284207492,4.222274993192966,2.4184878600262647e-5,0.04465345461015876,0.12202492341923135,Unadjusted,outcome_mortality,1.086910414103648,1.045665426579647,1.1297822594663172
uhi_quartileQ3,0.05096703036376038,0.02246503402372655,2.2687270497757233,0.023284929597412324,0.006936372765789421,0.09499768796173133,Unadjusted,outcome_mortality,1.0522881991521353,1.006960485117876,1.0996563126756866
uhi_quartileQ4 (High),-0.03462405854204054,0.024235834985131845,-1.4286307264957712,0.1531103979124135,-0.08212542224815478,0.012877305164073698,Unadjusted,outcome_mortality,0.9659684956095822,0.921156417941969,1.0129605747034185
uhi_quartileQ2,0.11235331388463579,0.022949639154403394,4.895646207277221,9.798320992262935e-7,0.0673728476838149,0.15733378008545668,Clinical Adj.,outcome_mortality,1.1189081165894497,1.0696942368504563,1.170386200318263
